Time,Flow Set Point,Flow Measured Value,Pump Output,Flow PG,Flow I,Flow D,PID Area
10.608,1.5,1.49,36.86,1.2,0.8,0.2,1
10.702,1.5,1.51,34.51,1.2,0.8,0.2,1
10.811,1.5,1.51,35.29,1.2,0.8,0.2,1
10.904,1.5,1.49,36.86,1.2,0.8,0.2,1
11.014,1.5,1.49,36.08,1.2,0.8,0.2,1
11.107,1.5,1.51,34.51,1.2,0.8,0.2,1
11.201,1.5,1.49,36.86,1.2,0.8,0.2,1
11.31,1.5,1.51,34.51,1.2,0.8,0.2,1
11.404,1.5,1.49,36.86,1.2,0.8,0.2,1
11.513,1.5,1.49,36.08,1.2,0.8,0.2,1
11.606,1.5,1.51,34.51,1.2,0.8,0.2,1
11.716,1.5,1.48,38.43,1.2,0.8,0.2,1
11.809,1.5,1.49,35.29,1.2,0.8,0.2,1
11.903,1.5,1.49,36.08,1.2,0.8,0.2,1
12.012,1.5,1.49,36.08,1.2,0.8,0.2,1
12.106,1.5,1.51,34.51,1.2,0.8,0.2,1
12.215,1.5,1.51,35.69,1.2,0.8,0.2,1
12.308,1.5,1.49,37.25,1.2,0.8,0.2,1
12.402,1.5,1.51,34.51,1.2,0.8,0.2,1
12.511,1.5,1.51,35.69,1.2,0.8,0.2,1
12.605,1.5,1.49,37.25,1.2,0.8,0.2,1
12.714,1.5,1.51,34.9,1.2,0.8,0.2,1
12.808,1.5,1.51,35.69,1.2,0.8,0.2,1
12.901,1.5,1.51,35.69,1.2,0.8,0.2,1
13.01,1.5,1.51,35.69,1.2,0.8,0.2,1
13.104,1.5,1.49,36.86,1.2,0.8,0.2,1
13.213,1.5,1.51,34.51,1.2,0.8,0.2,1
13.307,1.5,1.48,38.43,1.2,0.8,0.2,1
13.416,1.5,1.51,33.73,1.2,0.8,0.2,1
13.51,1.5,1.49,37.25,1.2,0.8,0.2,1
13.603,1.5,1.49,36.08,1.2,0.8,0.2,1
13.712,1.5,1.51,34.9,1.2,0.8,0.2,1
13.806,1.5,1.49,37.25,1.2,0.8,0.2,1
13.915,1.5,1.51,34.9,1.2,0.8,0.2,1
14.009,1.5,1.49,37.25,1.2,0.8,0.2,1
14.102,1.5,1.49,36.08,1.2,0.8,0.2,1
14.212,1.5,1.49,36.08,1.2,0.8,0.2,1
14.305,1.5,1.51,34.51,1.2,0.8,0.2,1
14.414,1.5,1.51,35.69,1.2,0.8,0.2,1
14.508,1.5,1.51,35.69,1.2,0.8,0.2,1
14.602,1.5,1.49,37.25,1.2,0.8,0.2,1
14.711,1.5,1.49,36.08,1.2,0.8,0.2,1
14.804,1.5,1.48,37.65,1.2,0.8,0.2,1
14.914,1.5,1.49,35.29,1.2,0.8,0.2,1
15.007,1.5,1.49,36.47,1.2,0.8,0.2,1
15.101,1.5,1.52,33.33,1.2,0.8,0.2,1
15.21,1.5,1.51,36.47,1.2,0.8,0.2,1
15.304,1.5,1.49,37.25,1.2,0.8,0.2,1
15.413,1.5,1.52,33.33,1.2,0.8,0.2,1
15.506,1.5,1.51,36.47,1.2,0.8,0.2,1
15.616,1.5,1.51,35.69,1.2,0.8,0.2,1
15.709,1.5,1.49,37.25,1.2,0.8,0.2,1
15.803,1.5,1.51,34.51,1.2,0.8,0.2,1
